Datetime,Predicted_MCP,Upper_CI,Lower_CI
2025-02-28 08:30:00,3651.0283,4262.903726003531,3039.1529146214684
2025-02-28 08:45:00,3564.623,4176.498452566031,2952.7476411839684
2025-02-28 09:00:00,3083.7676,3695.6429838160316,2471.8921724339684
2025-02-28 09:15:00,3588.1316,4200.006997487906,2976.2561861058434
2025-02-28 09:30:00,4337.756,4949.631265066031,3725.8804536839684
2025-02-28 09:45:00,3350.4187,3962.2941068629066,2738.5432954808434
2025-02-28 10:00:00,3479.2275,4091.1029447535316,2867.3521333714684
2025-02-28 10:15:00,3225.44,3837.3153470972816,2613.5645357152184
2025-02-28 10:30:00,3480.7874,4092.6627592066566,2868.9119478245934
2025-02-28 10:45:00,3494.2605,4106.135903737906,2882.3850923558434
2025-02-28 11:00:00,3508.2683,4120.143716237906,2896.3929048558434
2025-02-28 11:15:00,3464.6606,4076.5360502222816,2852.7852388402184
2025-02-28 11:30:00,3592.35,4204.225503347281,2980.4746919652184
2025-02-28 11:45:00,3477.907,4089.7823881129066,2866.0315767308434
2025-02-28 12:00:00,3226.6353,3838.5106595972816,2614.7598482152184
2025-02-28 12:15:00,3559.4805,4171.355874441031,2947.6050630589684
2025-02-28 12:30:00,3207.8381,3819.7135404566566,2595.9627290745934
2025-02-28 12:45:00,3051.0305,3662.9059232691566,2439.1551118870934
2025-02-28 13:00:00,3164.4812,3776.3566068629066,2552.6057954808434
2025-02-28 13:15:00,3037.6924,3649.5677885035316,2425.8169771214684
2025-02-28 13:30:00,3077.6934,3689.5687650660316,2465.8179536839684
2025-02-28 13:45:00,3308.3826,3920.2579740504066,2696.5071626683434
2025-02-28 14:00:00,3909.7769,4521.652261159781,3297.9014497777184
2025-02-28 14:15:00,2499.918,3111.7933744410316,1888.0425630589684
2025-02-28 14:30:00,2754.932,3366.8072904566566,2143.0564790745934
2025-02-28 14:45:00,3985.1008,4596.976235769156,3373.2254243870934
2025-02-28 15:00:00,3284.7256,3896.6009916285316,2672.8501802464684
2025-02-28 15:15:00,2943.098,3554.9733060816566,2331.2224946995934
2025-02-28 15:30:00,3316.658,3928.5333646754066,2704.7825532933434
2025-02-28 15:45:00,3390.5342,4002.4095853785316,2778.6587739964684
2025-02-28 16:00:00,3287.8528,3899.7281888941566,2675.9773775120934
2025-02-28 16:15:00,3593.2598,4205.135171316031,2981.3843599339684
2025-02-28 16:30:00,3433.047,4044.9225248316566,2821.1717134495934
2025-02-28 16:45:00,3211.2373,3823.1127103785316,2599.3618989964684
2025-02-28 17:00:00,3601.728,4213.603433034781,2989.8526216527184
2025-02-28 17:15:00,3783.9768,4395.852212331656,3172.1014009495934
2025-02-28 17:30:00,3194.1643,3806.0397123316566,2582.2889009495934
2025-02-28 17:45:00,3403.871,4015.7464994410316,2791.9956880589684
2025-02-28 18:00:00,3654.401,4266.276284597281,3042.5254732152184
2025-02-28 18:15:00,3448.056,4059.9313138941566,2836.1805025120934
2025-02-28 18:30:00,3470.8884,4082.7638334254066,2859.0130220433434
2025-02-28 18:45:00,3623.4355,4235.310952566031,3011.5601411839684
2025-02-28 19:00:00,3584.143,4196.018472097281,2972.2676607152184
2025-02-28 19:15:00,3400.364,4012.2394193629066,2788.4886079808434
2025-02-28 19:30:00,3396.13,4008.0052885035316,2784.2544771214684
2025-02-28 19:45:00,3264.922,3876.7975248316566,2653.0467134495934
2025-02-28 20:00:00,3732.8186,4344.694009206656,3120.9431978245934
2025-02-28 20:15:00,3608.452,4220.327309987906,2996.5764986058434
2025-02-28 20:30:00,2967.4,3579.2753080347816,2355.5244966527184
2025-02-28 20:45:00,3463.7888,4075.6642240504066,2851.9134126683434
2025-02-28 21:00:00,3377.876,3989.7513822535316,2766.0005708714684
2025-02-28 21:15:00,2995.7842,3607.6595853785316,2383.9087739964684
2025-02-28 21:30:00,3071.3037,3683.1791166285316,2459.4283052464684
2025-02-28 21:45:00,3105.9607,3717.8360990504066,2494.0852876683434
2025-02-28 22:00:00,3197.3696,3809.2450345972816,2585.4942232152184
2025-02-28 22:15:00,3187.0256,3798.9010404566566,2575.1502290745934
2025-02-28 22:30:00,2988.9138,3600.7892240504066,2377.0384126683434
2025-02-28 22:45:00,3222.5974,3834.4728178004066,2610.7220064183434
2025-02-28 23:00:00,3102.775,3714.6503080347816,2490.8994966527184
2025-02-28 23:15:00,3160.5789,3772.4542631129066,2548.7034517308434
2025-02-28 23:30:00,3134.346,3746.2213529566566,2522.4705415745934
2025-02-28 23:45:00,3122.5574,3734.4327787379066,2510.6819673558434
2025-03-01 00:00:00,2951.895,3563.7704252222816,2340.0196138402184
2025-03-01 00:15:00,3015.943,3627.8185209254066,2404.0677095433434
2025-03-01 00:30:00,3164.0815,3775.9569486597816,2552.2061372777184
2025-03-01 00:45:00,3016.064,3627.9393705347816,2404.1885591527184
2025-03-01 01:00:00,2908.917,3520.7923978785316,2297.0415864964684
2025-03-01 01:15:00,2885.178,3497.0533842066566,2273.3025728245934
2025-03-01 01:30:00,2853.3718,3465.2472318629066,2241.4964204808434
2025-03-01 01:45:00,2893.7156,3505.5909818629066,2281.8401704808434
2025-03-01 02:00:00,2870.0715,3481.9469388941566,2258.1961275120934
2025-03-01 02:15:00,2895.0823,3506.9576810816566,2283.2068696995934
2025-03-01 02:30:00,2910.9917,3522.8671049097816,2299.1162935277184
2025-03-01 02:45:00,3055.378,3667.2533353785316,2443.5025239964684
2025-03-01 03:00:00,2965.1785,3577.0538724879066,2353.3030611058434
2025-03-01 03:15:00,2994.8728,3606.7482084254066,2382.9973970433434
2025-03-01 03:30:00,3135.51,3747.3854154566566,2523.6346040745934
